Metric,Value
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.863180
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,32
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-0.359816
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,30
timing__unannotated_net__count__corner:max_ss_100C_1v60,107
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.21934579773356844
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.21922428382008657
timing__hold__ws__corner:max_ff_n40C_1v95,0.40830517900181845
timing__setup__ws__corner:max_ff_n40C_1v95,5.428587955034634
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.463753
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,107
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,107
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79899
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79986
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.00100782
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000931032
