Metric,Value
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.770058
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,5.319492
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,37
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.31392642152127426
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.3290417753621298
timing__hold__ws__corner:max_ss_100C_1v60,1.773877983599563
timing__setup__ws__corner:max_ss_100C_1v60,0.23915359258744034
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.773878
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,0.239154
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,32
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,37
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.28125105818135027
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.28661349105310097
timing__hold__ws__corner:max_ff_n40C_1v95,0.4221281776943087
timing__setup__ws__corner:max_ff_n40C_1v95,7.051238903459333
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.422128
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,7.051239
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,32
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,32
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79945
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79993
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.000550951
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000494466
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.0000674895
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000494466
design_powergrid__voltage__worst,0.000494466
design_powergrid__voltage__worst__net:vccd1,1.79945
design_powergrid__drop__worst,0.000550951
design_powergrid__drop__worst__net:vccd1,0.000550951
design_powergrid__voltage__worst__net:vssd1,0.000494466
design_powergrid__drop__worst__net:vssd1,0.000494466
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000069800000000000002558890599413388144967029802501201629638671875
ir__drop__worst,0.000550999999999999949019946487993593109422363340854644775390625
design__xor_difference__count,0
