Metric,Value
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.8480507647271921
timing__hold__ws__corner:max_ss_100C_1v60,0.9950029970471398
timing__setup__ws__corner:max_ss_100C_1v60,1.4942225657499073
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.736020
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,3.238497
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,142
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,60
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.47010152656780424
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.4785946219240854
timing__hold__ws__corner:max_ff_n40C_1v95,0.24834579540210003
timing__setup__ws__corner:max_ff_n40C_1v95,8.284345000038302
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.393297
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,10.669493
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,142
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,142
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79815
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79969
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.00185404
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.00223093
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.000316979
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.00223093
design_powergrid__voltage__worst,0.00223093
design_powergrid__voltage__worst__net:vccd1,1.79815
design_powergrid__drop__worst,0.00223093
design_powergrid__drop__worst__net:vccd1,0.00185404
design_powergrid__voltage__worst__net:vssd1,0.00223093
design_powergrid__drop__worst__net:vssd1,0.00223093
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0003110000000000000242549036411077167940675280988216400146484375
ir__drop__worst,0.001850000000000000081878948066105294856242835521697998046875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
